Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades,,,,,
2021-01-01,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-04,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-05,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-06,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-07,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-08,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-11,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-12,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-13,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-14,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-15,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-18,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-19,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-20,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-21,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-22,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-25,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-26,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-27,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-28,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-01-29,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-01,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-02,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-03,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-04,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-05,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-08,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-09,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-10,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-11,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-12,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-15,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-16,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-17,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-18,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-19,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-22,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-23,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-24,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-25,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-02-26,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-01,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-02,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
